,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
707,-500,-179,-111,-129
708,-500,-93,-106,-189
709,-500,-410,-160,-232
710,-500,-126,-206,-115
711,-500,-97,-118,-500
712,-500,-164,-130,-164
713,-500,-98,-118,-174
714,-500,-92,-140,-134
715,-500,-163,-118,-104
716,-500,-162,-127,-152
717,-500,-129,-88,-137
718,-500,-118,-89,-194
719,-500,-117,-128,-240
720,-500,-96,-104,-118
721,-500,-101,-87,-111
722,-500,-103,-100,-151
723,-500,-117,-121,-99
724,-500,-102,-127,-131
725,-500,-93,-188,-130
726,-500,-93,-114,-170
727,-500,-105,-122,-118
728,-500,-129,-500,-139
729,-500,-104,-149,-115
730,-500,-91,-138,-145
731,-500,-96,-153,-202
732,-500,-108,-109,-152
733,-500,-96,-99,-123
734,-500,-131,-500,-126
735,-500,-92,-87,-500
736,-500,-103,-103,-136
737,-500,-116,-124,-99
738,-500,-96,-96,-148
739,-500,-110,-186,-138
740,-500,-97,-118,-117
741,-500,-101,-142,-148
742,-500,-102,-104,-93
743,-500,-116,-500,-500
744,-500,-97,-153,-216
745,-500,-105,-189,-172
746,-500,-125,-128,-153
747,-500,-101,-160,-500
748,-500,-111,-103,-160
749,-500,-106,-104,-128
750,-500,-114,-138,-106
751,-500,-98,-127,-118
752,-500,-99,-123,-131
753,-500,-117,-101,-153
754,-500,-102,-103,-96
755,-500,-103,-105,-150
756,-500,-126,-88,-110
757,-500,-112,-97,-120
758,-500,-91,-153,-110
759,-500,-100,-107,-124
760,-500,-92,-112,-134
761,-500,-118,-119,-113
762,-500,-118,-111,-132
763,-500,-119,-143,-135
764,-500,-125,-130,-202
765,-500,-128,-132,-123
766,-500,-97,-111,-130
767,-500,-97,-132,-132
768,-500,-97,-89,-100
769,-500,-93,-134,-116
770,-500,-92,-134,-115
771,-500,-468,-130,-108
772,-500,-93,-131,-147
773,-500,-97,-119,-96
774,-500,-120,-87,-115
775,-500,-116,-88,-106
776,-500,-125,-150,-170
777,-500,-126,-142,-128
778,-500,-100,-123,-110
779,-500,-97,-86,-128
780,-500,-98,-124,-95
781,-500,-107,-92,-118
782,-500,-169,-146,-154
783,-500,-102,-103,-178
784,-500,-98,-99,-120
785,-500,-111,-106,-293
786,-500,-168,-124,-335
787,-500,-130,-88,-500
788,-500,-271,-88,-227
789,-500,-139,-107,-135
790,-500,-96,-121,-185
791,-500,-93,-118,-262
792,-500,-107,-500,-133
793,-500,-116,-126,-126
794,-500,-111,-101,-269
795,-500,-187,-87,-98
796,-500,-107,-102,-253
797,-500,-106,-156,-118
798,-500,-111,-87,-110
799,-500,-104,-150,-319
800,-500,-93,-95,-120
801,-500,-119,-96,-148
802,-500,-102,-124,-130
803,-500,-92,-92,-161
804,-500,-91,-138,-110
805,-500,-118,-117,-398
806,-500,-90,-500,-116
807,-500,-116,-132,-177
808,-500,-97,-99,-137
809,-500,-111,-150,-130
810,-500,-92,-122,-131
811,-500,-111,-124,-134
812,-500,-99,-129,-197
813,-500,-91,-118,-262
814,-500,-111,-136,-90
815,-500,-127,-127,-137
816,-500,-98,-140,-112
817,-500,-129,-100,-267
818,-500,-97,-141,-121
819,-500,-118,-113,-184
820,-500,-115,-261,-116
821,-500,-92,-87,-136
822,-500,-118,-123,-139
823,-500,-105,-88,-104
824,-500,-96,-118,-139
825,-500,-147,-126,-104
826,-500,-96,-112,-165
827,-500,-117,-131,-93
828,-500,-93,-121,-118
829,-500,-119,-96,-111
830,-500,-99,-213,-120
831,-500,-95,-110,-107
832,-500,-99,-117,-133
833,-500,-116,-87,-130
834,-500,-97,-87,-269
835,-500,-93,-90,-123
836,-500,-98,-87,-132
837,-500,-124,-120,-141
838,-500,-92,-107,-286
839,-500,-103,-164,-101
840,-500,-95,-176,-149
841,-500,-102,-160,-98
842,-500,-115,-151,-95
843,-500,-96,-98,-147
844,-500,-101,-119,-148
845,-500,-100,-117,-147
846,-500,-116,-108,-113
847,-500,-93,-103,-128
848,-500,-97,-202,-263
849,-500,-121,-111,-169
850,-500,-97,-151,-222
851,-500,-92,-134,-107
852,-500,-128,-124,-126
853,-500,-122,-119,-98
854,-500,-153,-110,-126
855,-500,-139,-117,-278
856,-500,-91,-140,-200
857,-500,-91,-129,-140
858,-500,-93,-118,-500
859,-500,-99,-125,-130
860,-500,-101,-90,-125
861,-500,-95,-97,-99
862,-500,-100,-115,-108
863,-500,-127,-118,-123
864,-500,-91,-119,-500
865,-500,-106,-109,-125
866,-500,-121,-146,-103
867,-500,-99,-89,-101
868,-500,-119,-113,-140
869,-500,-103,-111,-178
870,-500,-122,-115,-301
871,-500,-91,-121,-112
872,-500,-119,-85,-155
873,-500,-97,-130,-120
874,-500,-92,-155,-118
875,-500,-91,-110,-109
876,-500,-102,-88,-128
877,-500,-105,-107,-97
878,-500,-94,-130,-136
879,-500,-100,-114,-109
880,-500,-123,-139,-126
881,-500,-92,-103,-136
882,-500,-85,-500,-161
883,-500,-92,-126,-110
884,-500,-97,-97,-144
885,-500,-113,-138,-161
886,-500,-105,-97,-180
887,-500,-117,-96,-245
888,-500,-178,-98,-130
889,-500,-160,-114,-131
890,-500,-91,-87,-181
891,-500,-111,-143,-121
892,-500,-123,-114,-147
893,-500,-117,-115,-136
894,-500,-117,-134,-295
895,-500,-96,-500,-190
896,-500,-102,-130,-500
897,-500,-108,-119,-136
898,-500,-92,-500,-108
899,-500,-105,-121,-94
900,-500,-102,-102,-424
901,-500,-103,-88,-113
902,-500,-106,-88,-181
903,-500,-102,-87,-123
904,-500,-95,-87,-215
905,-500,-119,-130,-118
906,-500,-105,-87,-192
907,-500,-116,-500,-155
908,-500,-119,-123,-182
909,-500,-115,-140,-212
910,-500,-99,-119,-90
911,-500,-99,-123,-124
912,-500,-101,-118,-130
913,-500,-97,-90,-96
914,-500,-100,-124,-115
915,-500,-104,-91,-185
